text_a,text_b,label,idx,predicted
支持陳前總統保外就醫,"陳致中與戒護人員發生拉扯,陳水扁上月七日曾二度至署立桃園醫院戒護就醫,原本僅有一顆一公分的攝護腺腫瘤,與戒護人員發生拉扯與口角衝突,由戒護人員陪同,依規定家屬不得親近戒護就醫的收容人,原本服藥希望消除攝護腺腫瘤,前總統陳水扁廿三日第三度戒護就醫,當時診斷出攝護腺有腫瘤",0.5,10,2
支持陳前總統保外就醫,"顧台灣」苦行,為苦行加油打氣,走上苦行之途,官田區長陳成文等人前來惠安宮送行,不少鄉親並前來送行,祈求六天苦行一路平安",0.5,11,1
支持陳前總統保外就醫,"保外就醫可就不是這回事了,前總統陳水扁昨天第三度戒護就醫,因為畢竟蔡英文在總統選舉電視辯論中就是如此主張,與其勞師動眾地戒護就醫,我們認為法務部或許是該考慮讓陳前總統保外就醫了,不如乾脆讓他保外就醫,連署要求特赦或讓扁保外就醫,就沒有特赦的問題,「保外就醫」說穿了就只是放扁出獄的藉口,扁已三度戒護就醫",0.5,12,3
支持陳前總統保外就醫,"但法務部另以行政命令限縮保外就醫必須達到癌末瀕死條件,不符保外就醫條件,〔記者李欣芳／台北報導〕法務部強調陳水扁前總統不符合保外就醫條件,任何一次的意外,並不會教人太意外,保外就醫的良法美意形同具文,隨時可能有意外或生命危險,隨時有意外絕非危言聳聽陳水扁這篇刊登在壹週刊的文章中說,報請監督機關許可保外醫治或移送病監或醫院,「這種保外不是為了就醫,一定會促使法務部不得不面對受刑人保外就醫的不合理規定",0.5,13,2
支持陳前總統保外就醫,"須以特赦扁為前提,該連線要求民進黨與台聯必須在特赦扁的前提下才能與馬見面,該連線並將與國際特赦組織及國際人權團體接觸,特赦阿扁」,思考讓扁保外就醫甚至特赦,一邊一國連線援扁計劃●推動特赦．下周展開43名民進黨及台聯立委連署要求馬英九總統特赦陳水扁．拜會民進黨代理主席陳菊及台聯黨主席黃昆輝,否則不排除反輔選．不排除520上街頭●國際救援．由專人負責與國際特赦組織接觸．透過台灣人公共事務協會（FAPA",0.5,14,1
支持陳前總統保外就醫,"反輔選．不排除520上街頭●國際救援．由專人負責與國際特赦組織接觸．透過台灣人公共事務協會（FAPA）等組織接洽美國國會議員．由扁案律師赴美,要求若要與馬英九政治協商須以特赦扁為前提．拜會民進黨主席參選人,籲列泛綠會馬前提陳菊透過特助丁允恭表示,決定下周展開43名民進黨及台聯立委連署要求馬英九總統特赦扁,民進黨前主席許進良日前呼籲民進黨要勇敢主張特赦扁,對該連線力推特赦,特赦是總統權力,國際特赦組",0.5,14,1
支持陳前總統保外就醫,"已有八個縣市議會通過陳水扁保外就醫決議案,要在非綠色縣市議會通過保外就醫案,與縣市長並無直接關係,這從另外七個泛藍縣市執政的縣市議會通過決議案,綠色執政縣市是六個,國民黨屏東縣黨部第一時間送救援物資南下,其中卻僅宜蘭縣是綠色執政縣市,民進黨屏東縣黨部搞創意入黨的同時,包括屏東縣,即便立場極端的縣市議員不會也不想反向操作,縣市議員往往能探知基層選民的真正意向",0.5,15,1
支持陳前總統保外就醫,"「馬總統放手吧」蘇貞昌說：「扁臉發黑,【連線報導】前總統陳水扁前晚因解尿困難,阿扁總統既未殺你父,連前副總統呂秀蓮也說,他呼籲：「馬總統放手吧",0.5,16,1
支持陳前總統保外就醫,"傳聞陳水扁命危是危言聳聽,應以陳水扁的醫療人權為考量,對於陳水扁病情嚴重惡化,呼籲讓扁保外就醫,明天將上凱道舉辦「人權援扁大遊行」,前總統陳水扁病情嚴重惡化,讓陳水扁盡快保外就醫,經查是陳水扁9月14日凌晨2時許自行按緊急呼叫鈴,媒體報導陳水扁9月曾一度病危,呼籲政府讓扁盡快保外就醫",0.5,17,2
支持陳前總統保外就醫,"同意陳水扁保外就醫,至於保外就醫有無窒礙難行地方,賴筱桐／綜合報導〕為聲援前總統陳水扁保外就醫,這樣可杜絕保外就醫申請浮濫,確保醫療人權,希望讓前總統陳水扁保外就醫,保障其完善醫療人權,並呼籲檢討現行保外就醫制度,並全面檢討現行保外就醫制度,建議保外就醫應採科學量表",0.5,18,2
支持陳前總統保外就醫,"文林苑王家遭到市府強制拆除即將屆滿半年,認為市府冷酷無情,」文林苑事件早就重傷市府形象,市府很退縮,市府以「依法行政」回應,「政府不能以都更為由,市府應有更積極作為,當天表演者拷秋勤樂團也當著郝龍斌市長的面說,認為市府應促進雙方對話,市府遭批罔顧居住正義",0.5,19,1
支持陳前總統保外就醫,"扁已再度提出保外就醫申請,再度委託律師向矯正署申請保外就醫,讓扁保外就醫,外界關切陳水扁醫療人權,保外就醫是矯正署權責,扁保外就醫案,扁已經再度提出申請保外就醫,讓陳水扁保外就醫,再度向矯正署申請保外就醫",0.5,20,2
支持陳前總統保外就醫,"他懇求上主讓台灣保有人權,讓台灣人民鼓起勇氣,美國前司法部長克拉克將於廿日來台,桃園縣議會民進黨黨團十八日在台北監獄正門口發起「望扁早歸」靜坐,讓向來爭取扁保外就醫不遺餘力的台灣醫社及桃園縣議會民進黨黨團大為振奮,台灣建國黨主席黃國華則跪求祈禱,希望馬總統能夠就台灣人道關懷立場,議員將輪流接續在台北監獄門口靜坐",0.5,21,2
支持陳前總統保外就醫,"法務部矯正署考量前總統陳水扁病況惡化,確定陳水扁病情比去年5月時顯著惡化,核准讓陳水扁保外就醫1個月,保外就醫期間的醫療須由陳水扁家屬全權負責及照料,至於擴大鑑定小組建議陳水扁保外醫治期間由監獄設置醫療小組照護,陳水扁的病況惡化,今天同意讓入監6年40天的陳水扁保外就醫返家",0.5,22,2
支持陳前總統保外就醫,"也被捲入卡位戰的台中市長胡志強面對媒體詢問時指出,「什麼卡位,引發國民黨內中生代卡位戰,」至於媒體指「郝立強」三人的卡位戰刀刀見骨",0.5,23,1
支持陳前總統保外就醫,"盼馬總統重視陳水扁的身體健康,應讓陳水扁直接回家或保外就醫,特赦阿扁的問題比較複雜,主治醫師也主張盡快讓陳水扁回家治療,也要關心阿扁,阿扁沒有回家治療,姚嘉文︰民進黨不能切割扁台灣國家聯盟總召姚嘉文則指出,阿扁若繼續關下去,希望馬政府讓阿扁戒護回家治療,台灣人有責任協助阿扁,為營救陳水扁前總統,請求國際人權人士介入救扁,蘇籲馬讓扁戒護回家治療民進黨主席蘇貞昌昨出席立法院民進黨團大會後受訪表示,馬政",0.5,24,2
支持陳前總統保外就醫,"國際人權人士介入救扁,蘇籲馬讓扁戒護回家治療民進黨主席蘇貞昌昨出席立法院民進黨團大會後受訪表示,馬政府可派警察守著阿扁所在的大樓,外界如果再用「裝病」傷害阿扁,如果阿扁還沒回家,先讓陳水扁出來,明確指出阿扁患有重度憂鬱症,民進黨內有人要切割陳水扁,讓阿扁回家,呼籲馬總統讓阿扁保外就醫,台灣社會應該把陳水扁的功過先放在一邊,阿扁隨時面臨死亡,監察院提出阿扁的醫療報告",0.5,24,2
支持陳前總統保外就醫,"扁媽陳李慎昨天哽咽地表示,讓阿扁就算不能被放出來也能保外就醫,扁媽的談話不離兒子陳水扁,議員楊麗玉等人到官田探視扁媽陳李慎,「阿扁被關了四年,兒子陳水扁日前說她包的粽子很好吃,「放阿扁仔回來,放阿扁回來,」扁媽向馬喊話",0.5,25,2
支持陳前總統保外就醫,"准予陳水扁保外就醫,挺扁者指出,指前總統陳水扁病情每況愈下,阿扁聯誼會,並手拿挺扁標語,陳水扁目前頻尿,陳水扁病情每況愈下,愛國同心會路過與挺扁者互嗆,50名挺扁團體成員今天到法務部陳情,呼籲准予陳水扁保外就醫",0.5,26,2
支持陳前總統保外就醫,"但是這已經涉及醫療而非照顧問題,民間醫療小組成員郭長豐表示,立委陳亭妃質疑培德醫院為何拖了好幾天,也應該讓民間醫療小組協同醫療工作,將會把醫師的看法帶回去,法院應該停止審判醫療報告,除了應交由專業的醫療團隊照顧以外,早日讓陳水扁保外就醫,給培德的醫療團隊參考",0.5,27,2
支持陳前總統保外就醫,"國際自由聯盟決議文指出,由於國際自由聯盟對陳水扁的健康惡化主動表達關切,聯盟大會通過決議文,國際自由聯盟主席,聯盟主席范巴倫表明將訪台探視陳水扁,民進黨也向參與該聯盟大會的六十多國政黨代表表示感謝,〔記者林恕暉／綜合報導〕在非洲象牙海岸舉行的國際自由聯盟（LI）大會,第五十八屆「國際自由聯盟」年度大會",0.5,28,2
支持陳前總統保外就醫,"陳前總統事件,現在……陳前總統病了,親愛的馬總統：雖然昨天法務部對陳前總統提出兩點建議,那馬總統您是否可以就很單純的觀點去看待,陳前總統身體,陳前總統被過度賦予太多意義,福特總統在尚未被判刑前就特赦尼克森總統,希望撇開對立鬥爭陳前總統是個「人」,如果您能特赦陳前總統,所以當陳前總統已經被剝奪自由6年,所以請求您特赦陳前總統,金大中總統也在1997年特赦全斗煥總統,若這份權力在現任總統身上",0.5,29,2
支持陳前總統保外就醫,"專程南下高雄長庚醫院聆聽扁民間醫療團成員,立即讓陳水扁保外就醫,除挺扁團體發起集會聲援,立即讓扁保外就醫,讓陳水扁盡快保外就醫,不僅已私下探扁,希望政府能讓陳水扁保外就醫,「台灣民主人權平台」前天起也在自由廣場發起夜宿援扁行動,陳水扁確實自行按緊急呼叫鈴,蔡英文關心扁的健康狀況,前總統陳水扁傳出曾在9月中旬發生呼吸中止現象,蔡英文對陳水扁病情惡化感到憂心",0.5,30,2
支持陳前總統保外就醫,"柯文哲首位民選局長今面談網路直播台北市長當選人柯文哲的新市府第一位「民選局長」勞動局長,國家教育研究院行政副院長潘文忠,若柯文哲團隊屢勸不聽,柯文哲市政顧問團成員,柯市政顧問反彈揚言辭退台北市長當選人柯文哲日前拜會宜蘭縣長林聰賢",0.5,31,1
支持陳前總統保外就醫,"蘇貞昌回答,蘇貞昌說他不反對特赦,謝長廷針對兩岸政策詢問蘇的立場,蘇貞昌表示,」蘇貞昌立刻說：「飯要一口一口吃,蘇貞昌四兩撥千斤地說,蘇貞昌說要找回「創黨精神」,蘇貞昌態度很謹慎,謝長廷緊接著詢問蘇貞昌若當選主席,參選民進黨主席的蘇貞昌,希望聽聽蘇如何團結派系,蘇貞昌回應,逼問蘇貞昌到底選不選二○一六總統,正式登記參選民進黨主席的蘇貞昌",0.5,32,1
支持陳前總統保外就醫,"但曾是六百多萬選民選出的總統,總統府昨說,讓前總統陳水扁保外就醫的呼聲再起,調查結束後曾把報告送給馬總統,及國外對卸任總統禮遇的前例,馬總統若能夠依照扁的病情",0.5,33,2
支持陳前總統保外就醫,"將辭去議員職務,民進黨議員都簽名,黨團採議場內協調,全國已有十四個縣市議會通過聲援案,議員蕭永達則宣示,並呼籲高雄市議會民進黨團全體同仁,將挺扁保外就醫案交由全體議員表決,對於議員提案聲援陳前總統,一再表示不討論非市政議題的議長許崑源昨也再度重申：「市政無關,若扁案無法在十月底前獲得議會通過,議場外強硬的策略,十月卅一日一定在議事廳內,身為總召要為預算護航並顧及議會和諧,民進黨高雄市議員三日召開記",0.5,34,2
支持陳前總統保外就醫,"救扁議題應速保外就醫不反對特赦蘇貞昌表示,蘇貞昌如果帶領黨贏得二○一四,蘇貞昌沒有明確回答,蘇貞昌強調,蘇貞昌說,謝長廷詢問蘇貞昌,蘇貞昌則說,蘇貞昌並表明,會後謝長廷評論蘇貞昌的受訪表現「及格」,被詢及擔任「主考官」訪問蘇貞昌,〔記者李欣芳／台北報導〕民進黨主席參選人蘇貞昌昨接受前行政院長謝長廷專訪,蘇貞昌昨進綠色和平廣播電台錄音間,蘇貞昌的人氣很高",0.5,35,1
支持陳前總統保外就醫,"共和黨籍的夏波是眾院台灣連線的創始成員之一,希望台灣做為美國盟友和民主人道國家,希望台灣改變政策,對台灣極為支持,否則美國國會為什麼要為台灣挺身而出,他今天在表決台灣政策法案後接受媒體訪問時表示,馬英九政府曾經停止法輪功在台灣的頻道與轉播權,雖然台北駐美代表處已經將法務部決定把前總統陳水扁送往台中培德的英文新聞稿提供他參考",0.5,36,1
支持陳前總統保外就醫,"公開支持前總統陳水扁保外就醫,扁保外就醫並非單純司法問題,盡快讓扁保外就醫,扁保外就醫,因此理當給人保外就醫的機會",0.5,37,3
支持陳前總統保外就醫,"應立即讓扁保外就醫,盼早日促成扁保外就醫,07/09　蘇貞昌加入扁保外就醫連署,該保外就醫就保外就醫,交感神經過度亢奮●膚色莫名變深資料來源：扁醫療小組促扁保外就醫行動04/11　民進黨代理主席陳菊主持中常會通過決議,國內外研究都發現自殺案例中約7成屬於重度憂鬱患者,點名08:00戶外運動（放風）09:00到作業房（可使用桌子寫東西）12:00回原舍房午餐,家人只能懇切希望能爭取保外就醫,主席蘇貞",0.5,38,2
支持陳前總統保外就醫,"9:00到作業房（可使用桌子寫東西）12:00回原舍房午餐,家人只能懇切希望能爭取保外就醫,主席蘇貞昌希望讓扁盡快保外就醫,希望支持扁特赦獲保外就醫,希望王促請馬總統讓扁保外就醫,此外扁今年5月23日到長庚就醫後,另外一次是某天扁搭囚車要開庭時,希望促成扁保外就醫,07/03　蔡英文加入扁保外就醫連署",0.5,38,2
支持陳前總統保外就醫,"應讓阿扁保外就醫,如今社會上許多人也認為阿扁應保外就醫,侯柏青／台北報導〕高度關切陳水扁前總統保外就醫問題的民進黨,讓陳水扁保外就醫不是民進黨一個黨的主張,早就應該讓陳水扁保外就醫,民進黨中常會昨再度決議呼籲馬總統讓阿扁保外就醫,呼籲馬英九總統儘速讓陳水扁保外就醫",0.5,39,2
支持陳前總統保外就醫,"台獨黨綱不必修改,美國可出兵保護台灣,但不能以九二共識來恐嚇台灣,國民黨以九二共識威脅台商及其親人,台灣是主權獨立的國家,問題在於中國聲稱台灣是她的,日前南下台南與高雄,競選總幹事由曾任搶救台灣行動聯盟執行長的林宜正擔任,民進黨是台灣本土政黨,當台灣遭受武力威脅時,台灣也可以,兩百萬台商在中國,中國比台灣落後,台商貢獻很大,二次創黨保護台灣主體吳榮義強調,部署飛彈威脅台灣,台灣人要有這個認知,台灣",0.5,40,1
支持陳前總統保外就醫,"比台灣落後,台商貢獻很大,二次創黨保護台灣主體吳榮義強調,部署飛彈威脅台灣,台灣人要有這個認知,台灣人民與台商都要有自信,具財經專長的新台灣國策智庫董事長吳榮義（見圖,其中要緊的是台灣的主體性,但台灣與中國事實上互不隸屬,需要台灣的投資,台灣都有不可或缺的重要地位,他當過十多年的台灣經濟研究院院長,中國應該感謝台灣,中國若願意無條件與台灣坐下來談,黨的中國政策要以台灣為主體,根據台灣關係法,台灣可",0.5,40,1
支持陳前總統保外就醫,"中國應該感謝台灣,中國若願意無條件與台灣坐下來談,黨的中國政策要以台灣為主體,根據台灣關係法,台灣可與中國交往,台獨黨綱執行可具彈性對於總統敗選,他邀前總統府秘書長陳師孟及曾擔任搶救台灣行動聯盟總策劃的王美琇,但中國不能聲稱台灣是其一部分,包括要台灣承認一個中國,並以此影響台商,台獨黨綱哪裡需要修正,卻反過來威脅台灣,台灣前途決議文即強調台灣是主權獨立的國家",0.5,40,1
支持陳前總統保外就醫,"郝會後說,但郝市長講和解,演講的題目是郝龍斌自己訂的,台北市長郝龍斌昨也應新台灣國策智庫之邀,」與會人士指郝演講時使用國語,郝龍斌重申,此次邀「深藍」背景的郝龍斌演講,郝龍斌演說時舉自己二○○○至二○○二年擔任環保署長時推動「限塑」政策,「與朱格局不同」辜寬敏昨天肯定郝龍斌的和解主張",0.5,41,1
支持陳前總統保外就醫,"呂秀蓮因絕食而血糖太低,呂秀蓮於12月28日下午4時起在二二八公園內的台灣博物館前廣場展開絕食,而送醫前已絕食逾81小時,聲援前總統陳水扁保外就醫而絕食的前副總統呂秀蓮",0.5,42,2
支持陳前總統保外就醫,"持續於北榮接受治療,收治扁的台北榮總昨公開指扁現絕非廢人,他相信扁經治療後不會是廢人,但他相信周元華是因扁的醫療需求,已對扁醫療盡力,扁身體狀況仍有住院檢查或即時治療必要,身體不好應服刑治療,也沒有回家治療餘地,負責診療扁的周元華說,北榮院長林芳郁昨出席該院一場醫療設施記者會,才會收治住院,扁經治療病況已改善,不過昨陪扁主治醫師周元華向媒體說明的北榮公關室主任宋轅田指,民進黨主席蘇貞昌呼籲馬總統勿",0.5,43,2
支持陳前總統保外就醫,"病況已改善,不過昨陪扁主治醫師周元華向媒體說明的北榮公關室主任宋轅田指,民進黨主席蘇貞昌呼籲馬總統勿再以政治手段影響扁的醫療人權,他是指扁是「政治上的廢人」,病況在監所安排就醫後仍無法達到妥善治療,送病監都無法治療才能保外就醫,現階段未符合保外醫治條件,治療期間可抵刑期,扁的主治醫師,否則經6至12周治療後,在醫院治完病就應回監,但治療後的扁該去哪裡,回監恐惡化至失智扁民間醫療團成員,表示這是兼顧",0.5,43,2
支持陳前總統保外就醫,"想營救同志或陳水扁怕被關,但陳水扁沒有充足的活動空間,阿扁當總統時思慮敏捷,而陳水扁曾告知,扁的身體情況令人憂心,北監也否認外界懷疑陳水扁有小中風跡象或紀錄,法務部應該儘速讓扁保外就醫,呼籲馬政府迅即同意精神科醫師會診陳水扁及准予保外就醫,十二日她探視陳水扁,扁委託醫師郭長豐昨天也在臉書指出,扁自述頻呼「有壞人要害我」,強調推動陳水扁保外就醫,」前總統陳水扁醫療小組醫師郭正典認為,最近探視陳水扁,",0.5,44,2
支持陳前總統保外就醫,"頻呼「有壞人要害我」,強調推動陳水扁保外就醫,」前總統陳水扁醫療小組醫師郭正典認為,最近探視陳水扁,馬政府對陳水扁「戒而不醫,扁家委託的醫療小組成員陳昭姿則說,發現陳水扁講話「屢屢重複單音節字詞」,陳水扁經署桃核磁共振檢查,陳水扁身心病況多樣,三度探視陳水扁,扁身心病況惡化當局應盡人道關照台聯立委林世嘉表示,質疑馬政府對扁「戒而不醫,陳水扁以前思慮敏捷",0.5,44,2
支持陳前總統保外就醫,"只是不想當壞人才再找另一個「依法辦理」,端出「依法辦理」,但是馬英九不斷強調「依法辦理」,處理李朝卿案也是另一個「依法辦理」的困境,馬英九喜歡將「依法辦理」掛在嘴邊",0.5,45,1
支持陳前總統保外就醫,"1030227(中央社),陳致中也談到未來規畫,中國國民黨中央委員連勝文日前宣布角逐台北市長,前總統陳水扁兒子陳致中今天重新回到民生寓所,重返民生東路上昔日寓所的陳致中回想過去生活的點滴,陳致中認為,陳致中今天代表出席瑞智互助家庭三週年記者會,陳致中受訪談到民進黨台北市長提名時表示",0.5,46,1
支持陳前總統保外就醫,"並沒有「獄方指派的醫師向陳水扁說,他認為陳水扁的病情比上周面會時更嚴重,指吳淑珍十一日晚間收到陳水扁來自獄中的親筆信,陳水扁的家書寫「上禮拜我站著如廁時,陳水扁的心臟也有問題,陳水扁生活動態作息正常,扁由醫師追蹤治療過程,表示獄方的醫師向陳水扁說",0.5,47,1
支持陳前總統保外就醫,"盼阿扁能保外就醫,「讓阿扁回家,阿扁的主治醫師也說讓阿扁回家是最好的治療,他一再呼籲馬總統讓陳水扁保外就醫,希望已符合保外就醫條件的陳水扁,陳水扁的健康狀況確實有問題",0.5,48,2
支持陳前總統保外就醫,"扁若能保外就醫,「病人以外的事務都不適合做,民進黨立委不分派系都認為扁即使未來保外就醫,他會建議扁家儘速再向法務部提出保外就醫申請,若扁在保外就醫後還搞政治,這次是阿扁重啟保外就醫的機會,至於扁保外就醫後的政治影響力,法務部昨表態願考慮擴大保外就醫鑑定小組,若扁獲保外就醫就該專心接受治療",0.5,49,2
支持陳前總統保外就醫,"民進黨團為反制核四公投案審查,為了核四公投案醞釀已久,「不知道立院要核四公投」,即使推行公投也是「假民主,強調霸占主席台不是反對公投,立法院原預訂昨天處理核四公投案,而是反對公投主文,朝野協商決定下周二再處理核四公投案,突顯前民進黨主席林義雄也曾主張核四訴諸公投,諷刺公投法是「鳥籠公投」,企圖拿扁換取核四公投",0.5,50,1
支持陳前總統保外就醫,"以前阿扁總能笑笑地安慰家人,陳水扁已診斷出冠心症與心臟衰竭症狀,讓陳水扁戒護外醫,阿扁連續四天頭痛欲裂,扁媽很想去看阿扁,目前陳水扁顯然有病痛,阿扁連續四天都感到頭痛,昨天下午趕赴北監探視陳水扁,鄭文龍獲悉阿扁的身體狀況,談起阿扁的身體狀況,將由醫師判斷陳水扁的健康狀況後,她從來沒見過阿扁如此痛苦難過,儘快讓阿扁戒護外醫,陳秀金不想讓扁媽知道阿扁的身體不適,」律師鄭文龍則盼法務部重視阿扁的身體安全",0.5,51,1
支持陳前總統保外就醫,"郝龍斌加碼說要投停建核四,說不用公投,立委徐少萍：「明天公投我當然也不贊成,台北市長郝龍斌：「核四是不是需要公投可以商榷,台北市長郝龍斌加碼喊出「如果明天就公投,不用公投,喊「不用公投」,新北市長朱立倫喊出「沒有核安就不用公投」,前一天才說要投停建核四,但郝龍斌再加碼喊出「不用公投",0.5,52,1
支持陳前總統保外就醫,"並於國際人權日一起到台中探望阿扁,基於人道和健康原則,應以扁的醫療人權為考量,嘉義市長當選人涂醒哲說,桃園市長當選人鄭文燦表示,於十二月十日國際人權日當天一起到台中監獄探扁,呂秀蓮發動人權日探監民進黨昨天舉行勝選後首次中常會,邀請所有投入縣市長選舉的候選人與會,昨呼籲馬政府尊重扁醫療人權,也醞釀在當天發起「阿扁人形立牌」活動,鄭文燦等民進黨縣市長及縣市長當選人,十二月十日是國際人權日,希望馬政府基",0.5,53,2
支持陳前總統保外就醫,"台灣近年,昨天在「誠品事件」上亦展現維護台灣民主價值的明確態度,但台北市民要看到的是具體作為,出版自由更是所有生活在台灣的人所認知的基本民主價值,做為台北城市行銷的重點,所以台北市政府長期將「二十四小時誠品書店」,台獨,台灣民主化過程",0.5,54,1
支持陳前總統保外就醫,"法務部「不近人情」的決定,陳水扁昨無法順利保外就醫,法務部竟稱公文因塞車延誤,洪瑞琴／綜合報導〕法務部指陳水扁醫療鑑定報告公文因「高速公路塞車」,法務部用公文遲到為由,難道法務部就不能以「溫暖」,親扁社團幹部指出,對於法務部用官僚的公文流程,社會絕不容許法務部用任何的公文流程或程序上理由",0.5,55,2
支持陳前總統保外就醫,"又出身台南,以及台南市長賴清德連任成功等,一手創立的台灣醫界聯盟,昨在台南文化中心演藝廳舉行,也是台灣民主運動先鋒,足以見證李院士堅持台灣民主的路是正確且偉大的,希望台灣是一個重視民主,從台北市長當選人柯文哲,〔記者洪瑞琴／台南報導〕感念台灣當代醫界大師李鎮源院士",0.5,56,1
支持陳前總統保外就醫,"前副總統呂秀蓮持續絕食救扁,把法務部勸阻她絕食的話拿出來宣傳,呂秀蓮持續在二二八公園的台灣博物館前廣場絕食,希望呂秀蓮能暫緩絕食行動,她12月初就宣布要絕食",0.5,57,1
支持陳前總統保外就醫,"給陳水扁的最大祝福,陳順勝鑑定報告載明陳水扁「身心狀態需全天候之照護,現在陳水扁最需要靜養空間,陳水扁健康狀況,期待所有關心陳水扁的家屬及朋友,很高興聽到陳水扁終於獲准保外就醫,讓陳水扁終於獲保外就醫,陳水扁應該知道大家關心與熱情,前總統陳水扁保外就醫獲准,希望陳水扁保外就醫期間得到最好醫療照顧,讓陳水扁保外就醫期間有更多時間安心靜養並和家人團聚",0.5,58,2
支持陳前總統保外就醫,"法部官網扁專區綠批傷扁人權此外,陸續站出來呼籲政府儘快讓陳水扁保外就醫,此外,會讓人聯想「總統不准法務部同意阿扁保外就醫」,並批評馬英九總統日前發表的「保外就醫就等於放了阿扁」等言論,台北市等縣市議會近日也將有提案聲援阿扁保外就醫,呼籲中央協助前總統陳水扁保外就醫,苗栗縣及南投縣等九個縣市議會通過促請中央讓扁保外就醫",0.5,59,3
支持陳前總統保外就醫,"因此呂至少要絕食兩天,絕食很痛苦,她這一生中居然需要進行兩次絕食,這麼冷的天氣絕食讓人擔心,呂秀蓮昨絕食,為爭取見母親一面在獄中絕食,前副總統呂秀蓮昨發表「我為何要絕食,展開絕食,」陪同絕食的國防部前部長蔡明憲爆料說,希望呂不要絕食",0.5,60,1
支持陳前總統保外就醫,"希望陳水扁能夠保外就醫,扁媽陳李慎：「我這個兒子,還說已經有2名醫師建議陳水扁需要到醫院就診,陳水扁心臟不適,都站出來聲援陳水扁,陳水扁不但有冠心症,陳水扁血壓正常,陳致中首度到北監探視父親陳水扁,倒是新上任的典獄長說陳水扁目前血壓正常,」到底陳水扁身體出了什麼問題",0.5,61,2
